Invoice Date,Invoicing month,Quarter,PO Number- Sales,Retailer Name,Supplier Onboarding Date,Supplier Onboarding Quarter,Commodity Name,Category Mix,Loading State,Customer Name,Customer Type,Buyer Onboarding Date,Buyer Onboarding Quarter,Unloading State,Geography Mix,Qty. Bought,Qty Price,COGS,Commodity Cost,Discount to Farmers,Gunny Bag / Crates / Box Cost,Commission Amt,Transportation Cost,Mandi Tax,Deductions To retailer,Total Cost,Qty Sold,Selling Price,Invoice Value,Credit note qty,Credit note value,Gross invoice,Cash discount,Bardana,Quality,Net Invoice Value,Difference,Rejections (Yes/No),Quantity Sold,COGS,Commodity Cost,Discount to Farmers,Gunny Bag / Crates / Box Cost,Commission Amt,Transportation Cost,Mandi Tax,Deductions To retailer,Total Cost,Total inventory,COGS for GM,GM,CM-I,CM-II,cm2 %,GM +ve Transactions,CM-I +ve Transactions,CM-II +ve Transactions,
44439,Aug-21,"Q2, FY 22",PA0729,Tiwari Traders,Aug-21,"Q2, FY 22",Wheat,Wheat,Uttar Pradesh,Ganga Roller Flour Mills P Ltd.,Processors,May-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 164.34 ,2068.041659,339861.9663,0,666.9592296,339195.007,6630.83071,8987.39,9000.520045,314576.2663,-2.86,,167.2,294272,291329.28,2942.72,7524,5852,26752,0,0,334400, -   ," 2,91,329 ",47865.72704,-1249.662958,-19823.73, (5.8%),1,0,0,
44436,Aug-21,"Q2, FY 22",PA0690,VJA WAREHOUSE,Jul-21,"Q2, FY 22",Maize,Maize,Uttar Pradesh,M/s Sunrise Trading Co.,SME,Aug-21,"Q2, FY 22",Haryana,Haryana,,,,,,,,,,,, 360.55 ,1940.868417,699780.1077,0,0,699780.1077,6892.058973,4479.838332,10574.2104,677834,0,,360.55,610807.76,604699.6824,6108.0776,21633,10816,30972,0,0,674228.76, -   ," 6,04,700 ",95080.42531,27179.58697,3605.24, 0.5% ,1,1,1,
44439,Aug-21,"Q2, FY 22",PA0732,KRISHI PRAGATI KENDRA,Aug-21,"Q2, FY 22",Wheat,Wheat,Uttar Pradesh,Ganga Roller Flour Mills P Ltd.,Processors,May-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 217.09 ,2022.421316,439047.4434,0,0,439047.4434,8654.164068,6339.24,6339.24,417714.7993,-3.31,,220.4,405692.48,401635.5552,4056.9248,11964,6526,15300,0,0,439482.48, -   ," 4,01,636 ",37411.88819,-2717.35181,-21767.68, (5.0%),1,0,0,
44439,Aug-21,"Q2, FY 22",PA0742,SHRI KANAK TRANDING CO.,Jul-21,"Q2, FY 22",Wheat,Wheat,Uttar Pradesh,OLAM AGRI INDIA PRIVATE LIMITED,Enterprise,Jun-21,"Q1, FY 22",Uttarakhand,Uttarakhand,,,,,,,,,,,, 255.80 ,1880.659852,481072.7902,0,0,481072.7902,16320.61979,8540.539933,14798.0605,441413.57,0,,255.8,458135.24,453553.8876,4581.3524,12726,5090,23000,0,0,498951.24, -   ," 4,53,554 ",27518.90263,-21837.63731,-57537.67, (12.0%),1,0,0,
44439,Aug-21,"Q2, FY 22",PA0746,SINGH TRADERS,Aug-21,"Q2, FY 22",Wheat,Wheat,Uttar Pradesh,OLAM AGRI INDIA PRIVATE LIMITED,Enterprise,Jun-21,"Q1, FY 22",Uttarakhand,Uttarakhand,,,,,,,,,,,, 247.10 ,2126.874373,525550.6577,0,0,525550.6577,17829.55182,9743.739343,12257.2965,485720.07,0.1,,247,435423.95,431069.7105,4354.2395,13695,8320,22500,0,0,479938.95, -   ," 4,31,070 ",94480.94717,40222.20782,5781.12, 1.1% ,1,1,1,
44439,Aug-21,"Q2, FY 22",PA0710,BALAJI TRADERS,Aug-21,"Q2, FY 22",Wheat,Wheat,Andhra Pradesh,Fateh Flour Mill,Processors,Aug-21,"Q2, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 123.15 ,1903.709722,234441.8523,0,0,234441.8523,5688.653991,6945.055547,12366.62278,209441.52,0,,123.15,224922.39,222673.1661,2249.2239,6095,4876,7000,0,0,242893.39, -   ," 2,22,673 ",11768.68621,-13147.36933,-33451.87, (14.3%),1,0,0,
44439,Aug-21,"Q2, FY 22",PA0726,VEDANT TRADERS,Aug-21,"Q2, FY 22",Wheat,Wheat,Madhya Pradesh,IDEAL FOODGRAIN INDIA PRIVATE LIMITED,Processors,Aug-21,"Q2, FY 22",Madhya Pradesh,MP & Chhattisgarh,,,,,,,,,,,, 169.20 ,2016.86363,341253.3262,0,0,341253.3262,6691.525424,2174.745763,10257.555,322129.5,0,,169.2,317706.84,314529.7716,3177.0684,0,0,0,0,0,317706.84, -   ," 3,14,530 ",26723.55459,24548.80882,4422.66, 1.3% ,1,1,1,
44439,Aug-21,"Q2, FY 22",PA0728,SHRI RIDDHI ENTERPRISES,Aug-21,"Q2, FY 22",Wheat,Wheat,Madhya Pradesh,IDEAL FOODGRAIN INDIA PRIVATE LIMITED,Processors,Aug-21,"Q2, FY 22",Madhya Pradesh,MP & Chhattisgarh,,,,,,,,,,,, 188.10 ,2000.100088,376218.8266,0,0,376218.8266,7377.152542,2397.574576,7361.19945,359082.9,0,,188.1,352655.52,349128.9648,3526.5552,0,0,0,0,0,352655.52, -   ," 3,49,129 ",27089.86177,24692.28719,6427.38, 1.7% ,1,1,1,
44439,Aug-21,"Q2, FY 22",PA0740,SHRI RIDDHI ENTERPRISES,Aug-21,"Q2, FY 22",Wheat,Wheat,Madhya Pradesh,IDEAL FOODGRAIN INDIA PRIVATE LIMITED,Processors,Aug-21,"Q2, FY 22",Madhya Pradesh,MP & Chhattisgarh,,,,,,,,,,,, 145.30 ,2000.100088,290614.5428,0,0,290614.5428,5698.565999,1852.03395,7697.24285,275366.7,0,,145.3,272606.05,269879.9895,2726.0605,0,0,0,0,0,272606.05, -   ," 2,69,880 ",20734.5533,18882.51935,2760.65, 0.9% ,1,1,1,
44439,Aug-21,"Q2, FY 22",PA0741,RAHUL TRADING COMPANY,Aug-21,"Q2, FY 22",Wheat,Wheat,Madhya Pradesh,IDEAL FOODGRAIN INDIA PRIVATE LIMITED,Processors,Aug-21,"Q2, FY 22",Madhya Pradesh,MP & Chhattisgarh,,,,,,,,,,,, 202.40 ,2015.815909,408001.1399,0,0,408001.1399,8000.361582,2600.117514,12630.1608,384770.5,-89.6,,292,380922.76,377113.5324,3809.2276,0,0,0,0,0,380922.76," 1,79,200 "," 3,77,114 ",30887.6075,28287.48998,3847.74, 0.9% ,1,1,1,
44439,Aug-21,"Q2, FY 22",PA0745,SHRI KANAK TRANDING CO.,Jul-21,"Q2, FY 22",Wheat,Wheat,Uttar Pradesh,OLAM AGRI INDIA PRIVATE LIMITED,Enterprise,Jun-21,"Q1, FY 22",Uttarakhand,Uttarakhand,,,,,,,,,,,, 260.80 ,2060.599777,537404.422,0,18717.10964,518687.3123,10889.5702,3447.864407,7334.097,497015.7807,0,,260.8,465694.91,461037.9609,4656.9491,12936,7761,24900,0,0,511291.91, -   ," 4,61,038 ",57649.35142,8604.487015,-14276.13, (2.8%),1,1,0,
44439,Aug-21,"Q2, FY 22",PA0748,O B and Sons,Jul-21,"Q2, FY 22",Maize,Maize,Uttar Pradesh,M/s Sunrise Trading Co.,SME,Aug-21,"Q2, FY 22",Haryana,Haryana,,,,,,,,,,,, 344.40 ,1940.868417,668435.0828,0,0,668435.0828,6583.345196,4279.174377,10100.5632,647472,23.25,,321.15,559574.97,553979.2203,5595.7497,19076,9538,34000,0,0,622188.97," -46,500 "," 5,53,979 ",114455.8625,47562.6881,25283.03, 3.8% ,1,1,1,
44439,Aug-21,"Q2, FY 22",PA0749,O B and Sons,Jul-21,"Q2, FY 22",Maize,Maize,Uttar Pradesh,M/s Sunrise Trading Co.,SME,Aug-21,"Q2, FY 22",Haryana,Haryana,,,,,,,,,,,, 321.15 ,1940.868417,623309.8921,0,0,623309.8921,6138.912049,3990.292832,9418.6872,603762,-23.25,,344.4,600089.45,594088.5555,6000.8945,20457,10228,30600,0,0,661374.45," 46,500 "," 5,94,089 ",29221.33658,-36053.95625,-57612.45, (9.2%),1,0,0,
44439,Aug-21,"Q2, FY 22",PA0750,Mano Traders,Jul-21,"Q2, FY 22",Wheat,Wheat,Uttar Pradesh,OLAM AGRI INDIA PRIVATE LIMITED,Enterprise,Jun-21,"Q1, FY 22",Uttarakhand,Uttarakhand,,,,,,,,,,,, 249.05 ,2078.005679,517527.3144,0,6705.81,510821.5044,17527.63746,10776.92542,17690.7515,464826.19,0,,249.05,442574.3,438148.557,4425.743,12328,9862,21500,0,0,486264.3, -   ," 4,38,149 ",72672.94738,18206.02196,-21438.11, (4.2%),1,1,0,
44439,Aug-21,"Q2, FY 22",PA0753,SHRI RIDDHI ENTERPRISES,Aug-21,"Q2, FY 22",Wheat,Wheat,Madhya Pradesh,IDEAL FOODGRAIN INDIA PRIVATE LIMITED,Processors,Aug-21,"Q2, FY 22",Madhya Pradesh,MP & Chhattisgarh,,,,,,,,,,,, 169.00 ,2000.100088,338016.9149,0,0,338016.9149,6628.063688,2154.120699,9236.2305,319998.5,0,,169,316785.43,313617.5757,3167.8543,0,0,0,0,0,316785.43, -   ," 3,13,618 ",24399.33919,22245.21849,3213.07, 1.0% ,1,1,1,
44439,Aug-21,"Q2, FY 22",PA0754,SHRI KANAK TRANDING CO.,Jul-21,"Q2, FY 22",Wheat,Wheat,Uttar Pradesh,OLAM AGRI INDIA PRIVATE LIMITED,Enterprise,Jun-21,"Q1, FY 22",Uttarakhand,Uttarakhand,,,,,,,,,,,, 247.25 ,2126.874373,525869.6888,0,0,525869.6888,17840.3676,7939.07247,14033.42875,486056.82,0,,247.25,441487.13,437072.2587,4414.8713,12263,7358,22252,0,0,483360.13, -   ," 4,37,072 ",88797.43012,38985.35765,2696.69, 0.5% ,1,1,1,
44411,Aug-21,"Q2, FY 22",PA9999-3,Secondary Sales,Apr-21,"Q1, FY 22",Maize,Maize,Uttar Pradesh,ASG Warehousing Private Limited.,SME,Jun-21,"Q1, FY 22",Secondary Sale,Others,,,,,,,,,,,, 36.40 ,1538.241458,55991.98907,0,0,55991.98907,551.4590747,358.4483986,846.0816,54236,36.4,,0,0,0,0,0,0,0,0,0,0, -   , -   ,55991.98907,55633.54067,54236.00, 96.9% ,1,1,1,
44411,Aug-21,"Q2, FY 22",PA9999-4,Secondary Sales,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,ASG Warehousing Private Limited.,SME,Jun-21,"Q1, FY 22",Secondary Sale,Others,,,,,,,,,,,, 25.80 ,1488.812061,38411.35118,0,105.6103137,38305.74087,755.2665639,245.4616333,753.6333,36551.37937,25.8,,0,0,0,0,0,0,0,0,0,0, -   , -   ,38305.74087,38060.27924,36551.38, 95.4% ,1,1,1,
44418,Aug-21,"Q2, FY 22",PA9999-5,Secondary Sales,Apr-21,"Q1, FY 22",Maize,Maize,Uttar Pradesh,LAKSHYA AGRO PRODUCT,Processors,Jul-21,"Q2, FY 22",Secondary Sale,Others,,,,,,,,,,,, 23.45 ,1703.421749,39945.24001,0,0,39945.24001,393.4163701,255.7206406,603.603,38692.5,23.45,,0,0,0,0,0,0,0,0,0,0, -   , -   ,39945.24001,39689.51937,38692.50, 96.9% ,1,1,1,
44424,Aug-21,"Q2, FY 22",PA9999-6,Secondary Sales,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,VIKAS PULSES PVT. LTD.,SME,Jun-21,"Q1, FY 22",Secondary Sale,Others,,,,,,,,,,,, 327.30 ,1975.518389,646587.1689,0,0,646587.1689,11592.71,29142.4,21237.4,584614.6589,327.3,,0,0,0,0,0,0,0,0,0,0, -   , -   ,646587.1689,617444.7689,584614.66, 90.4% ,1,1,1,
44424,Aug-21,"Q2, FY 22",PA9999-7,Secondary Sales,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,VIKAS PULSES PVT. LTD.,SME,Jun-21,"Q1, FY 22",Secondary Sale,Others,,,,,,,,,,,, 261.55 ,1847.682227,483261.2864,0,0,483261.2864,9368.836528,3044.871872,14819.46,456028.118,261.55,,0,0,0,0,0,0,0,0,0,0, -   , -   ,483261.2864,480216.4145,456028.12, 94.4% ,1,1,1,
44433,Aug-21,"Q2, FY 22",PA9999-8,Secondary Sales,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,VIKAS PULSES PVT. LTD.,SME,Jun-21,"Q1, FY 22",Secondary Sale,Others,,,,,,,,,,,, 176.05 ,1881.56907,331250.2347,0,0,331250.2347,6460.411094,2099.633606,8229.68,314460.51,176.05,,0,0,0,0,0,0,0,0,0,0, -   , -   ,331250.2347,329150.6011,314460.51, 94.9% ,1,1,1,
44433,Aug-21,"Q2, FY 22",PA9999-9,Secondary Sales,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,VIKAS PULSES PVT. LTD.,SME,Jun-21,"Q1, FY 22",Secondary Sale,Others,,,,,,,,,,,, 15.60 ,1903.178533,29689.58512,0,0,29689.58512,570.5065023,185.4146133,1164.26,27769.404,15.6,,0,0,0,0,0,0,0,0,0,0, -   , -   ,29689.58512,29504.1705,27769.40, 93.5% ,1,1,1,
44435,Aug-21,"Q2, FY 22",PA9999-10,Secondary Sales,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,R.G. Flour Mills,Processors,Jun-21,"Q1, FY 22",Secondary Sale,Others,,,,,,,,,,,, 140.75 ,1981.184822,278851.7638,0,0,278851.7638,5469.225475,5390.49,5390.49,262601.5583,140.75,,0,0,0,0,0,0,0,0,0,0, -   , -   ,278851.7638,273461.2738,262601.56, 94.2% ,1,1,1,
44439,Aug-21,"Q2, FY 22",PA9999-11,Secondary Sales,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Shambhu dayal agro food p ltd,Processors,Jun-21,"Q1, FY 22",Secondary Sale,Others,,,,,,,,,,,, 19.61 ,1796.842143,35236.07443,0,0,35236.07443,690.932717,224.553133,599.588575,33721,19.61,,0,0,0,0,0,0,0,0,0,0, -   , -   ,35236.07443,35011.52129,33721.00, 95.7% ,1,1,1,
44445,Sep-21,"Q2, FY 22",PA0545,Shukla Khad Bhandar,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Mohit Enterprises,SME,Jun-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 249.81 ,2125.748699,531033.2825,0,4958.828179,526074.4543,10719.84221,5757.7,10436.10843,499160.8036,-3.58,,253.39,415574.8,411419.052,4155.748,12695,10042,36135,0,0,474446.8, -   ," 4,11,419 ",114655.4023,50025.70229,24714.00, 4.7% ,1,1,1,
44442,Sep-21,"Q2, FY 22",PA0663,BHOLE ENTERPRISES,Aug-21,"Q2, FY 22",Wheat,Wheat,Uttar Pradesh,VIKAS PULSES PVT. LTD.,SME,Jun-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 189.70 ,1888.05217,358163.4966,0,0,358163.4966,7163.269932,3625.18,6978.136655,340396.91,-0.2,,189.9,338022,334641.78,3380.22,7596,5697,34000,0,0,385315, -   ," 3,34,642 ",23521.71659,-27396.46341,-44918.09, (12.5%),1,0,0,
44445,Sep-21,"Q2, FY 22",PA0697,Tiwari Traders,Aug-21,"Q2, FY 22",Wheat,Wheat,Uttar Pradesh,Victoria Foods Pvt. Ltd.,SME,May-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 130.38 ,2056.195327,268086.7467,0,0,268086.7467,5361.734934,2593.5,5225.57177,254905.94,-2.32,,132.7,233552,231216.48,2335.52,5971,4644,20232,0,0,264399, -   ," 2,31,216 ",36870.2667,3429.766704,-9493.06, (3.5%),1,1,0,
44442,Sep-21,"Q2, FY 22",PA0693,Shanker Beez Bhandar,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Ganga Roller Flour Mills P Ltd.,Processors,May-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 246.85 ,2079.908066,513425.3061,0,0,513425.3061,10268.50612,19330.8,19330.8,464495.2,-8.3,,255.15,454167,449625.33,4541.67,12757,7655,35721,0,0,510300," 16,600 "," 4,49,625 ",63799.97612,-11663.82388,-45804.80, (8.9%),1,0,0,
44442,Sep-21,"Q2, FY 22",PA0694,Shanker Beez Bhandar,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,"OM PARKASH GUPTA ASSOCIATES
",SME,Aug-21,"Q2, FY 22",Delhi,Delhi,,,,,,,,,,,, 215.02 ,2088.998935,449176.551,0,4876.073959,444300.4771,9081.0525,12432.23,12528.22248,410258.9721,-3.83,,218.85,389553,385657.47,3895.53,10942,6566,30639,0,0,437700, -   ," 3,85,657 ",58643.00706,-1936.222939,-27441.03, (6.2%),1,0,0,
44444,Sep-21,"Q2, FY 22",PA0695,Shanker Beez Bhandar,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,GARV AGRIFARMS LLP,Processors,Aug-21,"Q2, FY 22",Delhi,Delhi,,,,,,,,,,,, 262.49 ,2124.252936,557595.1531,0,0,557595.1531,11151.90306,21673.24,21673.24,503096.77,1.14,,261.35,465203,460550.97,4652.03,13067,7841,35800,0,0,521911, -   ," 4,60,551 ",97044.18306,18662.94306,-18814.23, (3.4%),1,1,0,
44442,Sep-21,"Q2, FY 22",PA0730,Tiwari Traders,Aug-21,"Q2, FY 22",Wheat,Wheat,Uttar Pradesh,Mohit Enterprises,SME,Jun-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 202.93 ,2049.605926,415926.5306,0,0,415926.5306,8318.530612,9865.2,9865.2,387877.6,-3.57,,206.5,363440,359805.6,3634.4,9292,7227,35000,0,0,414959, -   ," 3,59,806 ",56120.93061,-5263.269388,-27081.40, (6.5%),1,0,0,
44445,Sep-21,"Q2, FY 22",PA0731,Tiwari Traders,Aug-21,"Q2, FY 22",Wheat,Wheat,Uttar Pradesh,Ganga Roller Flour Mills P Ltd.,Processors,May-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 185.31 ,2060.017356,381741.8163,0,0,381741.8163,7634.836327,10899.38,10899.38,352308.22,-36.29,,221.6,390016,386115.84,3900.16,9972,7756,34100,0,0,441844," 72,580 "," 3,86,116 ",-4374.023673,-67101.40367,-89535.78, (23.5%),0,0,0,
44445,Sep-21,"Q2, FY 22",PA0733,VARDHAN ENTERPRISES,Aug-21,"Q2, FY 22",Wheat,Wheat,Uttar Pradesh,VIKAS PULSES PVT. LTD.,SME,Jun-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 258.89 ,1789.605037,463303.6897,0,0,463303.6897,9266.073794,5645.255,9009.76092,439382.6,-1.414,,260.3,463334,458700.66,4633.34,13015,5606,42375,0,0,524330, -   ," 4,58,701 ",4603.029714,-62038.22529,-84947.40, (18.3%),1,0,0,
44451,Sep-21,"Q2, FY 22",PA0735,VARDHAN ENTERPRISES,Aug-21,"Q2, FY 22",Wheat,Wheat,Uttar Pradesh,GARV AGRIFARMS LLP,Processors,Aug-21,"Q2, FY 22",Delhi,Delhi,,,,,,,,,,,, 233.18 ,2114.031247,492949.8061,0,0,492949.8061,9858.996122,10061.86,10061.86,462967.09,-8.52,,241.7,430226,425923.74,4302.26,9668,4834,37672,0,0,482400, -   ," 4,25,924 ",67026.06612,4790.206122,-19432.91, (3.9%),1,1,0,
44442,Sep-21,"Q2, FY 22",PA0743,BABA TRADING COMPANY,Jun-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,GARV AGRIFARMS LLP,Processors,Aug-21,"Q2, FY 22",Delhi,Delhi,,,,,,,,,,,, 218.67 ,2079.182311,454654.7959,0,0,454654.7959,9093.095918,8396.64,8396.64,428768.42,-6.73,,225.4,395439.51,391485.1149,3954.3951,11015,8812,22600,0,0,437866.51, -   ," 3,91,485 ",63169.68102,12346.04102,-9098.09, (2.0%),1,1,0,
44445,Sep-21,"Q2, FY 22",PA0736,VARDHAN ENTERPRISES,Aug-21,"Q2, FY 22",Wheat,Wheat,Uttar Pradesh,"OM PARKASH GUPTA ASSOCIATES
",SME,Aug-21,"Q2, FY 22",Delhi,Delhi,,,,,,,,,,,, 304.19 ,2093.025338,636677.3776,0,0,636677.3776,12733.54755,18788.24,18788.24,586367.35,-4.81,,309,550820.31,545312.1069,5508.2031,12378,6189,49500,0,0,618887.31, -   ," 5,45,312 ",91365.27065,4510.030651,-32519.96, (5.1%),1,1,0,
44442,Sep-21,"Q2, FY 22",PA0744,BABA TRADING COMPANY,Jun-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,GARV AGRIFARMS LLP,Processors,Aug-21,"Q2, FY 22",Delhi,Delhi,,,,,,,,,,,, 200.26 ,2083.395565,417220.7959,0,0,417220.7959,8344.415918,8516.59,8516.59,391843.2,-3.54,,203.8,360414.19,356810.0481,3604.1419,10175,8048,20300,0,0,398937.19, -   ," 3,56,810 ",60410.74782,13371.15782,-7093.99, (1.7%),1,1,0,
44445,Sep-21,"Q2, FY 22",PA0751,Shanker Beez Bhandar,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,R.G. Flour Mills,Processors,Jun-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 182.50 ,2070.313727,377832.2551,0,0,377832.2551,7556.645102,14364.11,14364.11,341547.39,-2.9,,185.4,330012,326711.88,3300.12,9270,3708,29210,0,0,372200, -   ," 3,26,712 ",51120.3751,-5431.734898,-30652.61, (8.1%),1,0,0,
44444,Sep-21,"Q2, FY 22",PA0752,Shanker Beez Bhandar,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,GARV AGRIFARMS LLP,Processors,Aug-21,"Q2, FY 22",Delhi,Delhi,,,,,,,,,,,, 170.70 ,2103.704195,359102.3061,0,0,359102.3061,7182.046122,10656.82,10656.82,330606.62,-3.4,,174.1,309898,306799.02,3098.98,6964,3482,25856,0,0,346200, -   ," 3,06,799 ",52303.28612,5344.466122,-15593.38, (4.3%),1,1,0,
44445,Sep-21,"Q2, FY 22",PA0755,Shriram Fertilizer,Apr-21,"Q1, FY 22",Maize,Maize,Uttar Pradesh,RADHESHYAM BIRDICHAND LAHOTI,SME,Aug-21,"Q2, FY 22",Maharashtra,Maharashtra,,,,,,,,,,,, 248.65 ,1838.236,457077.3814,0,0,457077.3814,0,0,7020.8814,450056.5,0,,248.65,415648.31,411491.8269,4156.4831,12371,9896,23400,0,0,461315.31, -   ," 4,11,492 ",45585.5545,-81.4455,-11258.81, (2.5%),1,0,0,
44442,Sep-21,"Q2, FY 22",PA0756,AJAY KUMAR VIKASH TRADER,Sep-21,"Q2, FY 22",Wheat,Wheat,Uttar Pradesh,OLAM AGRI INDIA PRIVATE LIMITED,Enterprise,Jun-21,"Q1, FY 22",Uttarakhand,Uttarakhand,,,,,,,,,,,, 315.30 ,1936.615446,610614.8503,0,22300.77411,588314.0761,9493.734365,6192.875,12399.015,560228.4518,0,,315.3,555627.97,550071.6903,5556.2797,12486,15608,27000,0,0,610721.97, -   ," 5,50,072 ",38242.38584,-23044.48916,-50493.52, (8.6%),1,0,0,
44442,Sep-21,"Q2, FY 22",PA0757,VERMA KRISHI KENDRA,Sep-21,"Q2, FY 22",Wheat,Wheat,Uttar Pradesh,OLAM AGRI INDIA PRIVATE LIMITED,Enterprise,Jun-21,"Q1, FY 22",Uttarakhand,Uttarakhand,,,,,,,,,,,, 252.40 ,1936.844647,488859.5888,0,15693.94315,473165.6457,7568.30298,5014.425,9882.804,450700.1137,0,,252.4,446036.23,441575.8677,4460.3623,12494,9995,15620,0,0,484145.23, -   ," 4,41,576 ",31589.77799,-11533.64701,-33445.12, (7.1%),1,0,0,
44445,Sep-21,"Q2, FY 22",PA0758,Mano Traders,Jul-21,"Q2, FY 22",Wheat,Wheat,Uttar Pradesh,R.G. Flour Mills,Processors,Jun-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 178.15 ,2045.539301,364412.8265,0,0,364412.8265,7288.256531,9696.44,9696.44,337731.69,-2.35,,180.5,320748.5,317541.015,3207.485,8935,7147,17450,0,0,354280.5, -   ," 3,17,541 ",46871.81153,3643.371531,-16548.81, (4.5%),1,1,0,
44445,Sep-21,"Q2, FY 22",PA0759,Shukla Khad Bhandar,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Ganga Roller Flour Mills P Ltd.,Processors,May-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 192.37 ,2070.071174,398219.5918,0,0,398219.5918,7964.391837,13210,13210,363835.2,-3.03,,195.4,346067.08,342606.4092,3460.6708,9770,7728,19400,0,0,382965.08, -   ," 3,42,606 ",55613.18264,5505.182637,-19129.88, (4.8%),1,1,0,
44442,Sep-21,"Q2, FY 22",PA0760,MALVIYA TRADERS,Sep-21,"Q2, FY 22",Wheat,Wheat,Madhya Pradesh,OLAM AGRI INDIA PRIVATE LIMITED,Enterprise,Jun-21,"Q1, FY 22",Uttarakhand,Uttarakhand,,,,,,,,,,,, 413.40 ,2155.519528,891091.773,0,0,891091.773,0,9373.65,21070.633,860647.49,0,,413.4,732185.14,724863.2886,7321.8514,20567,16454,82267.3,0,0,851473.44, -   ," 7,24,863 ",166228.4844,37566.5344,9174.05, 1.0% ,1,1,1,
44442,Sep-21,"Q2, FY 22",PA0761,MALVIYA TRADERS,Sep-21,"Q2, FY 22",Wheat,Wheat,Madhya Pradesh,OLAM AGRI INDIA PRIVATE LIMITED,Enterprise,Jun-21,"Q1, FY 22",Uttarakhand,Uttarakhand,,,,,,,,,,,, 363.50 ,2155.268659,783440.1575,0,0,783440.1575,0,8151,33769.0575,741520.1,0.5,,363,643809.54,637371.4446,6438.0954,18085,14468,72337.7,0,0,748700.24, -   ," 6,37,371 ",146068.7129,33027.0129,-7180.14, (0.9%),1,1,0,
44441,Sep-21,"Q2, FY 22",PA0762,SHRI KANAK TRANDING CO.,Jul-21,"Q2, FY 22",Wheat,Wheat,Uttar Pradesh,OLAM AGRI INDIA PRIVATE LIMITED,Enterprise,Jun-21,"Q1, FY 22",Uttarakhand,Uttarakhand,,,,,,,,,,,, 321.65 ,2072.808697,666718.9173,0,19543.87005,647175.0472,10293.94181,6795.36,13442.4855,616643.2599,0,,321.65,571153.91,565442.3709,5711.5391,19144,9572,30448,0,0,630317.91, -   ," 5,65,442 ",81732.67631,15773.31631,-13674.65, (2.1%),1,1,0,
44441,Sep-21,"Q2, FY 22",PA0763,SHRI KANAK TRANDING CO.,Jul-21,"Q2, FY 22",Wheat,Wheat,Uttar Pradesh,OLAM AGRI INDIA PRIVATE LIMITED,Enterprise,Jun-21,"Q1, FY 22",Uttarakhand,Uttarakhand,,,,,,,,,,,, 189.10 ,1937.075796,366301.033,0,14272.49543,352028.5376,5708.602926,3799.9,7454.0255,335066.0091,0,,189.1,335786.76,332428.8924,3357.8676,9379,7503,17019,0,0,369687.76, -   ," 3,32,429 ",19599.64516,-18101.25484,-34621.75, (9.8%),1,0,0,
44442,Sep-21,"Q2, FY 22",PA0764,BALAJI TRADERS,Aug-21,"Q2, FY 22",Wheat,Wheat,Andhra Pradesh,OLAM AGRI INDIA PRIVATE LIMITED,Enterprise,Jun-21,"Q1, FY 22",Uttarakhand,Uttarakhand,,,,,,,,,,,, 257.45 ,2129.833107,548325.5334,0,0,548325.5334,16083.543,16398.03,24406.50038,491437.46,0,,257.45,448042.81,443562.3819,4480.4281,12743,10194,16750,0,0,487729.81, -   ," 4,43,562 ",104763.1515,48678.12148,3707.65, 0.7% ,1,1,1,
